summary_type,statistic,probability,rainfall_mm,observed,raw,mean_bias,quantile_mapping
ecdf,,,2.3456899187792644,0.2857142857142857,0.0,0.0,0.42857142857142855
ecdf,,,2.429464558735667,0.2857142857142857,0.0,0.0,0.42857142857142855
ecdf,,,2.513239198692069,0.2857142857142857,0.0,0.0,0.42857142857142855
ecdf,,,2.5970138386484716,0.2857142857142857,0.0,0.0,0.42857142857142855
ecdf,,,2.6807884786048737,0.2857142857142857,0.14285714285714285,0.0,0.42857142857142855
ecdf,,,2.764563118561276,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.42857142857142855
ecdf,,,2.8483377585176783,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.42857142857142855
ecdf,,,2.9321123984740805,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855
ecdf,,,3.015887038430483,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855
ecdf,,,3.099661678386885,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855
ecdf,,,3.1834363183432877,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855
ecdf,,,3.2672109582996898,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855
ecdf,,,3.3509855982560923,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714
ecdf,,,3.4347602382124944,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714
ecdf,,,3.5185348781688965,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.5714285714285714
ecdf,,,3.602309518125299,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.5714285714285714
ecdf,,,3.686084158081701,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714
ecdf,,,3.7698587980381038,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714
ecdf,,,3.853633437994506,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714
ecdf,,,3.9374080779509084,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714
ecdf,,,4.02118271790731,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714
ecdf,,,4.104957357863713,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714
ecdf,,,4.188731997820115,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714
ecdf,,,4.272506637776518,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714
ecdf,,,4.356281277732919,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714
ecdf,,,4.440055917689322,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714
ecdf,,,4.5238305576457245,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
ecdf,,,4.607605197602127,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
ecdf,,,4.691379837558529,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
ecdf,,,4.775154477514931,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
ecdf,,,4.858929117471334,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
ecdf,,,4.9427037574277355,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5714285714285714
ecdf,,,5.026478397384138,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5714285714285714
ecdf,,,5.110253037340541,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714
ecdf,,,5.194027677296943,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714
ecdf,,,5.277802317253345,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714
ecdf,,,5.361576957209747,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714
ecdf,,,5.44535159716615,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714
ecdf,,,5.529126237122552,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714
ecdf,,,5.612900877078954,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714
ecdf,,,5.696675517035357,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714
